ID,Concept,Time,cluster,pc1,pc2
ISG001,Climate change,pre,2,-0.061675638,-0.3662972
ISG001,Pollution,pre,3,0.45225644,-0.12927203
ISG001,Glaciers,pre,1,-0.5427351,0.095176674
ISG001,Sea,pre,-1,0.23442982,0.42752862
ISG001,Plants,pre,3,0.44595924,-0.24278525
ISG001,Climate change,post,2,-0.04273194,-0.36524495
ISG001,Pollution,post,3,0.39915755,0.13644458
ISG001,Glaciers,post,1,-0.5253546,0.12588371
ISG001,Sea,post,-1,0.211825,0.51867163
ISG001,Plants,post,3,0.38632497,-0.31389874
ISG004,Climate change,pre,2,-0.29951215,-0.33417764
ISG004,Pollution,pre,3,0.45440993,0.1730742
ISG004,Glaciers,pre,1,-0.66171753,-0.11151744
ISG004,Sea,pre,0,-0.04565388,0.6758753
ISG004,Plants,pre,3,0.36878625,-0.31452927
ISG004,Climate change,post,2,-0.29680616,-0.3331531
ISG004,Pollution,post,3,0.44551286,0.078683116
ISG004,Glaciers,post,1,-0.66199917,-0.1136306
ISG004,Sea,post,0,-0.0943796,0.67924345
ISG004,Plants,post,3,0.3401539,-0.29497397
ISG010,Climate change,pre,-1,-0.3374988,-0.1782336
ISG010,Pollution,pre,3,0.35801536,0.0735134
ISG010,Glaciers,pre,1,-0.5947149,-0.115870565
ISG010,Sea,pre,-1,0.08347597,0.25452232
ISG010,Plants,pre,3,0.35181138,-0.22032145
ISG010,Climate change,post,-1,-0.34001738,-0.20026048
ISG010,Pollution,post,3,0.41278931,0.11940477
ISG010,Glaciers,post,1,-0.65511477,-0.10331788
ISG010,Sea,post,0,-0.07127903,0.5459177
ISG010,Plants,post,3,0.3564221,-0.31222615
ISG011,Climate change,pre,2,-0.2533513,-0.4023236
ISG011,Pollution,pre,-1,0.34283105,0.3115165
ISG011,Glaciers,pre,1,-0.6306144,-0.06913423
ISG011,Sea,pre,0,-0.050433066,0.6407442
ISG011,Plants,pre,3,0.3732127,-0.21626574
ISG011,Climate change,post,2,-0.24503395,-0.37892854
ISG011,Pollution,post,3,0.48574364,-0.045641497
ISG011,Glaciers,post,1,-0.5917624,-0.06198517
ISG011,Sea,post,0,-0.07925126,0.59561443
ISG011,Plants,post,3,0.30497143,-0.0822939
ISG013,Climate change,pre,2,-0.0002044584,-0.3118968
ISG013,Pollution,pre,3,0.3446193,0.054153737
ISG013,Glaciers,pre,-1,-0.477465,0.15326823
ISG013,Sea,pre,0,-0.00802871,0.5693109
ISG013,Plants,pre,3,0.37969738,-0.35944507
ISG013,Climate change,post,2,-0.15624422,-0.39711422
ISG013,Pollution,post,3,0.39437705,0.034076795
ISG013,Glaciers,post,-1,-0.49489096,0.23364827
ISG013,Sea,post,0,-0.072864026,0.66732544
ISG013,Plants,post,3,0.3226454,-0.34055778
ISG014,Climate change,pre,2,-0.10960916,-0.38213626
ISG014,Pollution,pre,3,0.36298668,0.0031048523
ISG014,Glaciers,pre,1,-0.5586168,-0.077761695
ISG014,Sea,pre,0,-0.040511925,0.64590776
ISG014,Plants,pre,3,0.3780214,-0.30289626
ISG014,Climate change,post,2,-0.2721472,-0.40849876
ISG014,Pollution,post,3,0.4266998,0.08968289
ISG014,Glaciers,post,-1,-0.5494404,0.17469978
ISG014,Sea,post,0,-0.06683845,0.5257933
ISG014,Plants,post,3,0.24563676,0.10155572
ISG019,Climate change,pre,2,-0.12801349,-0.39323008
ISG019,Pollution,pre,3,0.42621353,0.07170764
ISG019,Glaciers,pre,1,-0.5940286,-0.09539525
ISG019,Sea,pre,0,-0.07718323,0.67477214
ISG019,Plants,pre,3,0.31118408,-0.17488085
ISG019,Climate change,post,2,-0.12801349,-0.39323008
ISG019,Pollution,post,3,0.42335775,0.00058239506
ISG019,Glaciers,post,1,-0.5671171,-0.010185582
ISG019,Sea,post,0,-0.0806287,0.6760907
ISG019,Plants,post,3,0.15509705,-0.25748885
ISG021,Climate change,pre,2,-0.18257894,-0.40575346
ISG021,Pollution,pre,3,0.46648136,0.047308993
ISG021,Glaciers,pre,1,-0.5992982,-0.12045326
ISG021,Sea,pre,0,-0.10690177,0.6833151
ISG021,Plants,pre,3,0.3127831,-0.2085434
ISG021,Climate change,post,2,-0.12627515,-0.37519434
ISG021,Pollution,post,3,0.45456785,0.033153433
ISG021,Glaciers,post,1,-0.6163182,-0.033934876
ISG021,Sea,post,0,0.03960279,0.5949013
ISG021,Plants,post,3,0.36596417,-0.33500865
ISG023,Climate change,pre,2,-0.13171929,-0.41455284
ISG023,Pollution,pre,3,0.38398647,0.10145611
ISG023,Glaciers,pre,1,-0.54937136,-0.04341377
ISG023,Sea,pre,0,-0.03495078,0.45935914
ISG023,Plants,pre,3,0.2949434,-0.010835173
ISG023,Climate change,post,2,-0.10623638,-0.4310147
ISG023,Pollution,post,3,0.44930974,0.14357413
ISG023,Glaciers,post,1,-0.60888654,-0.059525624
ISG023,Sea,post,0,0.05409937,0.5098919
ISG023,Plants,post,3,0.32119554,0.050016444
ISG024,Climate change,pre,2,-0.08863767,-0.3929679
ISG024,Pollution,pre,3,0.41622263,0.041899692
ISG024,Glaciers,pre,-1,-0.45485166,0.3053493
ISG024,Sea,pre,0,-0.10088043,0.66948366
ISG024,Plants,pre,3,0.36282867,-0.31856483
ISG024,Climate change,post,2,-0.13870971,-0.33567563
ISG024,Pollution,post,3,0.41674975,0.026713684
ISG024,Glaciers,post,-1,-0.34540993,0.098724104
ISG024,Sea,post,0,-0.021624409,0.5256888
ISG024,Plants,post,3,0.35522804,-0.30760196
ISG025,Climate change,pre,2,-0.15528513,-0.42039737
ISG025,Pollution,pre,3,0.3775961,0.052851453
ISG025,Glaciers,pre,1,-0.47905734,-0.054812912
ISG025,Sea,pre,0,-0.013903481,0.4512696
ISG025,Plants,pre,3,0.39531335,-0.31565148
ISG025,Climate change,post,-1,-0.2544249,-0.018471664
ISG025,Pollution,post,3,0.38788915,0.058011025
ISG025,Glaciers,post,1,-0.5910916,-0.06789933
ISG025,Sea,post,-1,-0.02524864,0.30896977
ISG025,Plants,post,3,0.34066197,-0.3185997
ISG031,Climate change,pre,2,-0.0065571573,-0.38308805
ISG031,Pollution,pre,3,0.3446193,0.054153737
ISG031,Glaciers,pre,1,-0.5870292,-0.11673317
ISG031,Sea,pre,0,-0.03495078,0.45935914
ISG031,Plants,pre,3,0.40801573,-0.19680856
ISG031,Climate change,post,2,0.008606619,-0.28480488
ISG031,Pollution,post,-1,0.055732917,0.048640795
ISG031,Glaciers,post,1,-0.6362546,-0.07074012
ISG031,Sea,post,0,-0.0052646063,0.48961934
ISG031,Plants,post,3,0.41445127,-0.30471233
ISG032,Climate change,pre,2,-0.06212981,-0.3039587
ISG032,Pollution,pre,3,0.27743056,-0.078773424
ISG032,Glaciers,pre,1,-0.57792574,-0.020430503
ISG032,Sea,pre,-1,0.1888829,0.44160134
ISG032,Plants,pre,3,0.39363283,-0.23495781
ISG032,Climate change,post,2,-0.18593837,-0.41126618
ISG032,Pollution,post,3,0.42822927,0.065456025
ISG032,Glaciers,post,-1,-0.5260059,0.18869099
ISG032,Sea,post,-1,0.252935,0.45890585
ISG032,Plants,post,3,0.44586483,-0.2348483
ISG033,Climate change,pre,-1,-0.1178283,-0.16640079
ISG033,Pollution,pre,3,0.35324964,0.121734895
ISG033,Glaciers,pre,1,-0.38551643,-0.11765424
ISG033,Sea,pre,-1,0.24772117,0.47561422
ISG033,Plants,pre,3,0.43316922,-0.33608407
ISG033,Climate change,post,2,-0.036789604,-0.27437168
ISG033,Pollution,post,3,0.41206315,0.08715587
ISG033,Glaciers,post,1,-0.42696586,-0.042653695
ISG033,Sea,post,0,-0.09083207,0.65824807
ISG033,Plants,post,3,0.40714303,-0.19912307
ISG034,Climate change,pre,-1,0.07132292,-0.3622336
ISG034,Pollution,pre,3,0.3429779,0.050204985
ISG034,Glaciers,pre,1,-0.60159194,-0.05955466
ISG034,Sea,pre,-1,0.050653566,0.2767125
ISG034,Plants,pre,3,0.3833487,-0.12938038
ISG034,Climate change,post,2,-0.11965737,-0.33640236
ISG034,Pollution,post,3,0.33916828,-0.03438195
ISG034,Glaciers,post,1,-0.5616083,-0.017559204
ISG034,Sea,post,-1,0.022984505,0.29403162
ISG034,Plants,post,3,0.3901341,-0.3129713
ISG035,Climate change,pre,2,-0.18313688,-0.36931017
ISG035,Pollution,pre,3,0.34972465,-0.07960116
ISG035,Glaciers,pre,1,-0.55421454,-0.053897314
ISG035,Sea,pre,0,-0.03495078,0.45935914
ISG035,Plants,pre,3,0.31566578,0.08494815
ISG035,Climate change,post,2,-0.11604848,-0.3482714
ISG035,Pollution,post,3,0.35190183,-0.048735462
ISG035,Glaciers,post,1,-0.62137014,-0.053618066
ISG035,Sea,post,0,-0.042374514,0.5765599
ISG035,Plants,post,3,0.39296377,-0.3292533
ISG037,Climate change,pre,2,-0.14688142,-0.32472092
ISG037,Pollution,pre,3,0.32550588,0.07954488
ISG037,Glaciers,pre,1,-0.5048998,-0.14346145
ISG037,Sea,pre,0,-0.058963373,0.6536126
ISG037,Plants,pre,3,0.38013417,-0.27219126
ISG037,Climate change,post,2,-0.055502165,-0.24744008
ISG037,Pollution,post,3,0.3907475,-0.00466478
ISG037,Glaciers,post,1,-0.6444501,-0.06890408
ISG037,Sea,post,0,-0.05595801,0.67044836
ISG037,Plants,post,3,0.37573272,-0.168799
ISG041,Climate change,pre,2,-0.23244824,-0.4024295
ISG041,Pollution,pre,3,0.3446193,0.054153737
ISG041,Glaciers,pre,1,-0.6590794,-0.09167167
ISG041,Sea,pre,-1,0.052924644,0.27676296
ISG041,Plants,pre,3,0.4085645,-0.35491124
ISG041,Climate change,post,2,-0.21199653,-0.40081897
ISG041,Pollution,post,3,0.31603026,-0.029954681
ISG041,Glaciers,post,1,-0.6627182,-0.09702242
ISG041,Sea,post,0,0.039413847,0.3970539
ISG041,Plants,post,3,0.28152385,-0.27175093
ISG044,Climate change,pre,2,-0.12801349,-0.39323008
ISG044,Pollution,pre,3,0.4050828,0.02543272
ISG044,Glaciers,pre,1,-0.603136,-0.07152302
ISG044,Sea,pre,0,-0.03719665,0.64861864
ISG044,Plants,pre,3,0.39457676,-0.1999591
ISG044,Climate change,post,2,-0.1567325,-0.25581893
ISG044,Pollution,post,3,0.39412296,0.029473975
ISG044,Glaciers,post,-1,-0.44607005,0.27885324
ISG044,Sea,post,0,-0.030547345,0.6472827
ISG044,Plants,post,3,0.34560287,-0.322408
ISG045,Climate change,pre,2,-0.18204266,-0.41389647
ISG045,Pollution,pre,3,0.46216682,0.17114328
ISG045,Glaciers,pre,1,-0.6734886,-0.14628144
ISG045,Sea,pre,0,-0.011753029,0.5558061
ISG045,Plants,pre,3,0.38426077,-0.362393
ISG045,Climate change,post,2,-0.08941839,-0.33276412
ISG045,Pollution,post,3,0.40801117,0.14030801
ISG045,Glaciers,post,1,-0.53128314,-0.086107194
ISG045,Sea,post,0,0.054790422,0.6156487
ISG045,Plants,post,3,0.3747605,-0.1776633
ISG047,Climate change,pre,2,-0.13224114,-0.32550678
ISG047,Pollution,pre,3,0.39718565,0.014034674
ISG047,Glaciers,pre,1,-0.6578698,-0.080878206
ISG047,Sea,pre,0,-0.041630674,0.68470883
ISG047,Plants,pre,3,0.35273162,-0.29049355
ISG047,Climate change,post,2,-0.13425598,-0.41049305
ISG047,Pollution,post,3,0.43654358,-0.002085231
ISG047,Glaciers,post,1,-0.6182404,-0.042776916
ISG047,Sea,post,0,-0.07159883,0.6921077
ISG047,Plants,post,3,0.37415162,-0.3011455
ISG049,Climate change,pre,2,-0.18313517,-0.35688385
ISG049,Pollution,pre,3,0.3660551,0.25945726
ISG049,Glaciers,pre,1,-0.39264792,-0.040700234
ISG049,Sea,pre,0,-0.092627645,0.49150464
ISG049,Plants,pre,3,0.4224779,-0.28728166
ISG049,Climate change,post,2,-0.13813847,-0.42848122
ISG049,Pollution,post,3,0.45585835,-0.024549803
ISG049,Glaciers,post,1,-0.545403,-0.015066276
ISG049,Sea,post,0,-0.020691626,0.69585544
ISG049,Plants,post,3,0.4189616,-0.3171958
ISG053,Climate change,pre,2,-0.21059749,-0.4184017
ISG053,Pollution,pre,3,0.3918652,0.087451234
ISG053,Glaciers,pre,1,-0.62908226,-0.08688351
ISG053,Sea,pre,0,0.02451541,0.5429542
ISG053,Plants,pre,3,0.38940778,-0.23334141
ISG053,Climate change,post,2,-0.101992205,-0.3699803
ISG053,Pollution,post,3,0.47515833,0.13765839
ISG053,Glaciers,post,1,-0.54689646,-0.17372863
ISG053,Sea,post,0,-0.09625971,0.5992419
ISG053,Plants,post,-1,0.17163613,0.14651343
ISG056,Climate change,pre,2,0.021818716,-0.32726476
ISG056,Pollution,pre,-1,0.3535131,0.36626938
ISG056,Glaciers,pre,1,-0.4805648,-0.016853524
ISG056,Sea,pre,0,-0.027955743,0.58088857
ISG056,Plants,pre,3,0.33487788,-0.30488828
ISG056,Climate change,post,2,-0.120772004,-0.4300636
ISG056,Pollution,post,-1,0.29049718,0.25085312
ISG056,Glaciers,post,1,-0.54739594,-0.0047061006
ISG056,Sea,post,0,0.0037960303,0.41671368
ISG056,Plants,post,3,0.3555615,-0.17464302
ISG057,Climate change,pre,2,-0.17250618,-0.3759112
ISG057,Pollution,pre,3,0.37115988,0.07435657
ISG057,Glaciers,pre,1,-0.6157024,-0.077503085
ISG057,Sea,pre,0,-0.13745542,0.46049565
ISG057,Plants,pre,3,0.31309444,-0.18515693
ISG057,Climate change,post,-1,-0.3223119,-0.41945603
ISG057,Pollution,post,3,0.43478537,0.10542769
ISG057,Glaciers,post,-1,-0.5352725,0.1807992
ISG057,Sea,post,0,-0.1816798,0.58314013
ISG057,Plants,post,3,0.36830106,-0.22910798
ISG058,Climate change,pre,2,-0.13153875,-0.21668541
ISG058,Pollution,pre,3,0.442751,0.11350475
ISG058,Glaciers,pre,1,-0.5913344,-0.17501692
ISG058,Sea,pre,0,-0.11780859,0.5858334
ISG058,Plants,pre,3,0.35474944,-0.20042108
ISG058,Climate change,post,2,-0.17925315,-0.36486444
ISG058,Pollution,post,3,0.40834507,0.12825039
ISG058,Glaciers,post,1,-0.6565972,-0.12273184
ISG058,Sea,post,0,-0.037498277,0.67532957
ISG058,Plants,post,3,0.3051171,-0.17211457
ISG059,Climate change,pre,2,-0.16600044,-0.2746165
ISG059,Pollution,pre,3,0.45189446,0.050690517
ISG059,Glaciers,pre,1,-0.47754055,-0.106908895
ISG059,Sea,pre,0,-0.042856377,0.4388688
ISG059,Plants,pre,3,0.33299083,-0.2115441
ISG059,Climate change,post,2,-0.15719295,-0.29296178
ISG059,Pollution,post,3,0.38093182,0.055731636
ISG059,Glaciers,post,1,-0.5301951,-0.08836457
ISG059,Sea,post,0,-0.08773181,0.5773621
ISG059,Plants,post,3,0.29671496,-0.11074269
ISG062,Climate change,pre,2,-0.088807054,-0.36916432
ISG062,Pollution,pre,3,0.43579513,0.08050152
ISG062,Glaciers,pre,1,-0.4941252,-0.044475112
ISG062,Sea,pre,0,-0.07570444,0.4874546
ISG062,Plants,pre,3,0.3230453,-0.2815457
ISG062,Climate change,post,2,-0.08077697,-0.34898174
ISG062,Pollution,post,3,0.38663274,0.091258764
ISG062,Glaciers,post,1,-0.6036271,-0.04202398
ISG062,Sea,post,0,-0.103229865,0.4338309
ISG062,Plants,post,3,0.32205504,-0.29422104
ISG063,Climate change,pre,2,-0.29329053,-0.3057465
ISG063,Pollution,pre,3,0.35891518,-0.048126794
ISG063,Glaciers,pre,1,-0.50414467,-0.0901737
ISG063,Sea,pre,0,-0.04562734,0.55709857
ISG063,Plants,pre,3,0.31309444,-0.18515693
ISG063,Climate change,post,2,-0.19835933,-0.3725307
ISG063,Pollution,post,3,0.3934541,-0.071840905
ISG063,Glaciers,post,1,-0.5301951,-0.08836457
ISG063,Sea,post,0,-0.006487682,0.49045783
ISG063,Plants,post,3,0.24334621,-0.17338565
ISG064,Climate change,pre,2,0.026436696,-0.2748003
ISG064,Pollution,pre,-1,0.42287335,0.29059088
ISG064,Glaciers,pre,1,-0.66280323,-0.118273996
ISG064,Sea,pre,0,-0.043683607,0.47058412
ISG064,Plants,pre,3,0.34254688,-0.28768873
ISG064,Climate change,post,2,-0.07234358,-0.35913435
ISG064,Pollution,post,3,0.46071634,0.13774218
ISG064,Glaciers,post,1,-0.66280323,-0.118273996
ISG064,Sea,post,0,-0.08719123,0.66827166
ISG064,Plants,post,3,0.28293958,-0.25929108
ISG069,Climate change,pre,2,-0.12801349,-0.39323008
ISG069,Pollution,pre,3,0.3446193,0.054153737
ISG069,Glaciers,pre,1,-0.52110314,-0.040822614
ISG069,Sea,pre,0,-0.07317699,0.48352668
ISG069,Plants,pre,3,0.29155216,-0.34019798
ISG069,Climate change,post,2,-0.3283474,-0.37633425
ISG069,Pollution,post,3,0.44274655,0.075961
ISG069,Glaciers,post,1,-0.56235296,-0.12217021
ISG069,Sea,post,0,-0.044879455,0.6124103
ISG069,Plants,post,3,0.31977314,-0.23806897
ISG070,Climate change,pre,2,-0.13073058,-0.3049276
ISG070,Pollution,pre,3,0.3589711,0.042883467
ISG070,Glaciers,pre,-1,-0.4834118,0.14186987
ISG070,Sea,pre,0,-0.06701531,0.52139956
ISG070,Plants,pre,3,0.32276627,-0.3184609
ISG070,Climate change,post,-1,-0.44444212,-0.2438973
ISG070,Pollution,post,3,0.3995286,0.026520733
ISG070,Glaciers,post,1,-0.57672614,0.13693729
ISG070,Sea,post,0,-0.044823643,0.4739767
ISG070,Plants,post,3,0.36845723,-0.21232866
ISG073,Climate change,pre,2,-0.21377178,-0.37569034
ISG073,Pollution,pre,3,0.5080669,-0.01623097
ISG073,Glaciers,pre,1,-0.6562346,-0.10773488
ISG073,Sea,pre,0,-0.069840886,0.59990853
ISG073,Plants,pre,3,0.28702164,-0.19850357
ISG073,Climate change,post,2,-0.1273906,-0.41387674
ISG073,Pollution,post,3,0.32485223,0.076991186
ISG073,Glaciers,post,1,-0.61184716,-0.09300711
ISG073,Sea,post,0,-0.12204621,0.6349166
ISG073,Plants,post,3,0.3496249,-0.2395002
